,Name,Avg_Loss,Min_Loss,Max_Loss,Avg_Prec,Min_Prec,Max_Prec,Avg_Recall,Min_Recall,Max_Recall
0,single_layer_20,2.1303314089775087,1.8860224485397339,2.303626537322998,0.1388142523563832,0.011433333333333334,0.33814580735513866,0.1714921695344796,0.1,0.27398333641606853
0,single_layer_40,1.944837737083435,1.5988320112228394,2.300579071044922,0.24068511898737674,0.0864639037433155,0.49691206010861977,0.26815370688380213,0.10164233576642337,0.4413320892771576
0,single_layer_60,1.8776963591575622,1.687929630279541,2.1527464389801025,0.319705041720681,0.13173032789462102,0.4367453646649403,0.2949358622793169,0.17644061405253367,0.39417643785516016
0,single_layer_80,1.5515474081039429,1.248835802078247,1.9144513607025146,0.506285076427157,0.24033752842752448,0.6224597647491698,0.4551764063224092,0.2653707592170763,0.5775063891771577
0,single_layer_100,1.3959657788276671,1.1641088724136353,1.707959771156311,0.5826565550514851,0.42243624601409613,0.7039380008422917,0.5240673388822944,0.3664212799918851,0.6488512048600725
0,single_layer_120,1.3187279939651488,1.0852067470550537,1.7465351819992065,0.6180120407820902,0.4418535452709248,0.7489090878379198,0.5591727709159319,0.3486825513232895,0.6831626234645852
0,double_layer_20,2.277454209327698,2.0607028007507324,2.3018290996551514,0.03411522007293187,0.01140950792326939,0.13827030661295264,0.1081698949578305,0.09970845481049563,0.18163838209175295
0,double_layer_40,2.293351149559021,2.1941633224487305,2.3074095249176025,0.02131653438993383,0.011413315534790589,0.11027866564352307,0.10494471933642673,0.09970845481049563,0.15003028374327598
0,double_layer_60,2.3049891233444213,2.301618814468384,2.309481382369995,0.02989420848943903,0.011400433984309798,0.11144477811144478,0.10015901531638813,0.09956268221574344,0.10179084712355765
0,double_layer_80,2.304732084274292,2.295459747314453,2.311628818511963,0.06209173819294189,0.011435239206534423,0.16153587066352307,0.10116559762384673,0.1,0.10917722420960337
0,double_layer_100,2.3063814640045166,2.2998476028442383,2.313955783843994,0.05119746871220263,0.01140950792326939,0.1590617615267062,0.10059091320026434,0.09970845481049563,0.10496170453377199
0,double_layer_120,2.2908410310745237,2.1318578720092773,2.3237497806549072,0.05486367609478554,0.01140950792326939,0.12810048405942248,0.10763485852954935,0.09970845481049563,0.16710901109212156
