,Name,Avg_Loss,Min_Loss,Max_Loss,Avg_Prec,Min_Prec,Max_Prec,Avg_Recall,Min_Recall,Max_Recall
0,single_layer_20,2.2224157810211183,2.0339746475219727,2.3037607669830322,0.07132766017880934,0.011433333333333334,0.11916087068451131,0.1325520619028257,0.1,0.1945740305504466
0,single_layer_40,1.9910526037216187,1.8063746690750122,2.3016233444213867,0.2312402633754294,0.011433333333333334,0.3970052321255403,0.23859551215900324,0.1,0.33497419685840646
0,single_layer_60,1.8211826920509337,1.5450289249420166,2.1012063026428223,0.3817628660659892,0.20823299798816136,0.4911922076409323,0.3124168102941397,0.18870134466622762,0.4435783109596412
0,single_layer_80,1.6356073856353759,1.2525514364242554,2.1003220081329346,0.49023339865648713,0.30975105983775253,0.6993065174596798,0.402774678136044,0.19749748466458636,0.592383031543676
0,single_layer_100,1.55413419008255,1.3863226175308228,1.7263691425323486,0.4992114654771206,0.39836842788704285,0.6368565648904356,0.4385823669172041,0.36044003777828026,0.5092167697344044
0,single_layer_120,1.4646395921707154,1.1769723892211914,1.8520362377166748,0.5657876572750515,0.30119819894633154,0.710129757658017,0.4759719415827737,0.28327732980530657,0.6115320531943716
0,double_layer_20,2.301831817626953,2.300797462463379,2.303870677947998,0.018576621391440735,0.011418569761626937,0.08287525923100761,0.10006945635397016,0.09985422740524781,0.10084033613445378
0,double_layer_40,2.2464964985847473,1.8605400323867798,2.3127026557922363,0.052644545270630096,0.011433333333333334,0.2038422810452832,0.12287030182319232,0.1,0.2686090396749833
0,double_layer_60,2.2982282876968383,2.232177495956421,2.3107926845550537,0.03117695143097632,0.011424282855236823,0.11143523920653442,0.10347939989417221,0.09985422740524781,0.13490760818816597
0,double_layer_80,2.3025745153427124,2.291558027267456,2.3085618019104004,0.05643840631001877,0.011433333333333334,0.11148309340475393,0.100479107375996,0.0998845111485238,0.10440140845070423
0,double_layer_100,2.304222321510315,2.3006739616394043,2.308443069458008,0.04405815315469365,0.011433333333333334,0.15430624865690887,0.10031433774944994,0.1,0.10230295979961401
0,double_layer_120,2.3087119579315187,2.3022801876068115,2.3204498291015625,0.040436912272951195,0.011426188490408674,0.11143714571523841,0.10009641084278158,0.09985422740524781,0.10036496350364962
