,Name,train time [s],layers,loss val,iters,Class_0_precs,Class_1_precs,Class_2_precs,Class_3_precs,Class_4_precs,Class_5_precs,Class_6_precs,Class_7_precs,Class_8_precs,Class_9_precs,Class_0_recall,Class_1_recall,Class_2_recall,Class_3_recall,Class_4_recall,Class_5_recall,Class_6_recall,Class_7_recall,Class_8_recall,Class_9_recall,Confmat_0,Confmat_1,Confmat_2,Confmat_3,Confmat_4,Confmat_5,Confmat_6,Confmat_7,Confmat_8,Confmat_9,Confmat_10,Confmat_11,Confmat_12,Confmat_13,Confmat_14,Confmat_15,Confmat_16,Confmat_17,Confmat_18,Confmat_19,Confmat_20,Confmat_21,Confmat_22,Confmat_23,Confmat_24,Confmat_25,Confmat_26,Confmat_27,Confmat_28,Confmat_29,Confmat_30,Confmat_31,Confmat_32,Confmat_33,Confmat_34,Confmat_35,Confmat_36,Confmat_37,Confmat_38,Confmat_39,Confmat_40,Confmat_41,Confmat_42,Confmat_43,Confmat_44,Confmat_45,Confmat_46,Confmat_47,Confmat_48,Confmat_49,Confmat_50,Confmat_51,Confmat_52,Confmat_53,Confmat_54,Confmat_55,Confmat_56,Confmat_57,Confmat_58,Confmat_59,Confmat_60,Confmat_61,Confmat_62,Confmat_63,Confmat_64,Confmat_65,Confmat_66,Confmat_67,Confmat_68,Confmat_69,Confmat_70,Confmat_71,Confmat_72,Confmat_73,Confmat_74,Confmat_75,Confmat_76,Confmat_77,Confmat_78,Confmat_79,Confmat_80,Confmat_81,Confmat_82,Confmat_83,Confmat_84,Confmat_85,Confmat_86,Confmat_87,Confmat_88,Confmat_89,Confmat_90,Confmat_91,Confmat_92,Confmat_93,Confmat_94,Confmat_95,Confmat_96,Confmat_97,Confmat_98,Confmat_99
21,Control_v1_21,24.890625,(),inf,176,0.956431535,0.933810376,0.812889813,0.824701195,0.897321429,0.871428571,0.888211382,0.878957169,0.776397516,0.770134228,0.931313131,0.927175844,0.83014862,0.802325581,0.823770492,0.804395604,0.918067227,0.90248566,0.768442623,0.874285714,461,0,11,1,1,5,5,4,7,0,0,522,19,2,1,1,1,1,16,0,2,8,391,14,4,4,6,16,24,2,2,6,26,414,2,15,5,7,19,20,1,4,4,0,402,0,15,8,7,47,7,7,4,26,3,366,18,1,17,6,4,1,11,0,9,6,437,1,5,2,1,1,4,5,4,0,0,472,5,31,1,7,10,33,5,18,5,5,375,29,3,3,1,7,17,5,0,22,8,459
22,Control_v1_22,29,(),inf,206,0.950413223,0.894039735,0.851258581,0.833663366,0.878600823,0.802061856,0.898167006,0.871559633,0.773626374,0.832677165,0.929292929,0.959147425,0.789808917,0.815891473,0.875,0.854945055,0.926470588,0.908221797,0.721311475,0.805714286,460,0,10,1,1,7,5,4,7,0,0,540,8,1,2,2,1,1,8,0,4,16,372,14,4,7,6,16,30,2,2,8,27,421,2,21,5,7,14,9,1,6,2,0,427,2,15,6,7,22,5,7,1,20,0,389,15,0,15,3,3,1,5,0,7,10,441,1,7,1,2,1,5,4,4,0,0,475,6,26,3,21,5,34,6,35,3,7,352,22,4,4,2,10,33,12,0,28,9,423
23,Control_v1_23,28.3125,(),inf,206,0.946721311,0.940325497,0.794871795,0.856236786,0.905405405,0.859447005,0.888663968,0.903474903,0.746153846,0.79086116,0.933333333,0.923623446,0.855626327,0.784883721,0.823770492,0.81978022,0.922268908,0.894837476,0.795081967,0.857142857,462,0,12,1,1,3,5,3,8,0,0,520,20,1,1,2,1,2,16,0,2,8,403,9,3,4,7,10,23,2,4,5,32,405,2,18,5,6,29,10,2,4,4,0,402,1,18,2,8,47,6,7,5,20,0,373,15,1,24,4,6,1,8,0,6,6,439,1,9,0,1,1,10,3,3,0,0,468,5,32,1,4,11,26,5,18,4,7,388,24,4,3,2,8,21,9,0,18,10,450
24,Control_v1_24,27.46875,(),inf,194,0.950207469,0.922942207,0.824675325,0.796261682,0.874747475,0.832967033,0.89516129,0.896551724,0.776180698,0.844444444,0.925252525,0.936056838,0.808917197,0.825581395,0.887295082,0.832967033,0.932773109,0.894837476,0.774590164,0.796190476,458,0,11,2,1,6,5,4,8,0,0,527,16,2,1,1,1,1,14,0,4,11,381,16,4,4,9,13,27,2,2,6,27,426,1,20,5,4,14,11,0,5,3,0,433,0,15,4,8,20,5,7,3,24,1,379,15,1,17,3,4,1,5,0,6,7,444,1,8,0,2,1,9,12,3,0,0,468,3,25,2,9,7,42,4,24,2,4,378,16,5,4,0,11,41,14,0,22,10,418
25,Control_v1_25,28.28125,(),inf,195,0.95625,0.912820513,0.859090909,0.788888889,0.88308977,0.834482759,0.876227898,0.897683398,0.764,0.838521401,0.927272727,0.948490231,0.802547771,0.825581395,0.866803279,0.797802198,0.93697479,0.889101338,0.782786885,0.820952381,459,0,12,1,1,6,5,3,8,0,0,534,8,3,1,3,1,2,11,0,3,13,378,17,4,4,8,14,28,2,2,8,23,426,1,18,8,4,18,8,0,5,2,1,423,2,18,6,8,23,7,8,1,29,1,363,21,0,22,3,2,1,4,0,7,6,446,1,9,0,1,1,5,13,4,0,0,465,3,31,2,11,5,39,4,23,2,4,382,16,4,4,2,11,33,10,0,19,11,431
26,Control_v1_26,24.34375,(),inf,168,0.93083004,0.929475588,0.766730402,0.72875817,0.856015779,0.891304348,0.921568627,0.922764228,0.751004016,0.863070539,0.951515152,0.912966252,0.851380042,0.864341085,0.889344262,0.720879121,0.888655462,0.868068834,0.766393443,0.792380952,471,0,12,2,1,0,3,1,5,0,0,514,31,3,2,2,0,1,10,0,4,9,401,12,5,3,6,9,20,2,3,5,26,446,0,8,4,3,17,4,1,5,3,1,434,1,12,3,8,20,9,6,5,52,4,328,10,0,38,3,7,1,16,2,7,7,423,2,10,1,2,1,12,20,4,0,0,454,4,26,4,9,15,52,6,14,1,3,374,10,5,3,2,22,44,5,0,16,12,416
27,Control_v1_27,26.359375,(),inf,186,0.953878407,0.918871252,0.79759519,0.83531746,0.863453815,0.853146853,0.881287726,0.910505837,0.758483034,0.838521401,0.919191919,0.925399645,0.845010616,0.815891473,0.881147541,0.804395604,0.920168067,0.894837476,0.778688525,0.820952381,455,0,16,1,1,5,5,3,9,0,0,521,19,1,1,2,1,2,16,0,4,10,398,11,5,4,7,10,20,2,3,6,30,421,2,16,6,4,21,7,0,5,2,0,430,3,16,2,6,24,5,7,3,22,2,366,22,0,25,3,4,1,10,0,8,5,438,2,7,1,1,1,8,7,5,0,0,468,7,26,1,12,11,30,8,20,2,4,380,20,4,4,2,11,36,8,0,19,10,431
28,Control_v1_28,25.71875,(),inf,184,0.921722114,0.913559322,0.850549451,0.790145985,0.926365796,0.865060241,0.875984252,0.908203125,0.776371308,0.791519435,0.951515152,0.957371226,0.821656051,0.839147287,0.799180328,0.789010989,0.93487395,0.889101338,0.754098361,0.853333333,471,0,12,1,0,1,5,1,3,1,0,539,7,3,1,2,1,1,9,0,7,12,387,15,2,4,7,10,25,2,3,6,23,433,0,14,6,3,20,8,3,5,5,0,390,1,22,5,7,50,11,8,3,32,0,359,17,1,21,3,7,1,5,0,5,5,445,1,6,1,1,1,7,11,3,0,0,465,4,31,2,15,5,45,4,17,5,5,368,22,6,3,1,8,16,12,0,20,11,448
29,Control_v1_29,29.5,(),inf,210,0.932270916,0.917241379,0.804081633,0.85042735,0.8721174,0.814655172,0.904958678,0.872693727,0.78713969,0.791512915,0.945454545,0.944937833,0.836518047,0.771317829,0.852459016,0.830769231,0.920168067,0.904397706,0.727459016,0.817142857,468,0,11,1,1,3,5,3,3,0,0,532,14,1,2,1,1,2,10,0,4,11,394,12,4,7,5,14,18,2,4,8,31,398,2,21,5,8,22,17,3,4,6,0,416,2,14,5,5,33,8,7,4,17,0,378,15,1,22,3,6,1,10,0,7,6,438,1,5,2,1,1,8,5,3,0,0,473,3,29,4,13,10,27,7,36,1,8,355,27,4,3,2,7,35,10,0,27,8,429
30,Control_v1_30,29.40625,(),3.91395309,208,0.926147705,0.912969283,0.828389831,0.843495935,0.892241379,0.844393593,0.900621118,0.921686747,0.726765799,0.831758034,0.937373737,0.95026643,0.83014862,0.804263566,0.848360656,0.810989011,0.913865546,0.877629063,0.801229508,0.838095238,464,0,11,1,0,3,5,2,9,0,0,535,10,1,1,2,0,1,13,0,4,13,391,15,2,5,5,10,24,2,4,8,26,415,0,18,6,3,26,10,3,6,6,1,414,1,17,4,12,24,9,7,4,16,1,369,12,0,35,2,6,1,8,0,8,8,435,1,8,1,2,1,8,9,3,0,0,459,7,34,4,11,6,28,4,21,2,5,391,16,5,4,2,6,31,10,1,13,13,440
31,Control_v1_31,25.765625,(),inf,186,0.920077973,0.905982906,0.827213823,0.79739777,0.91011236,0.845977011,0.88247012,0.898272553,0.775257732,0.83625731,0.953535354,0.941385435,0.813163482,0.831395349,0.829918033,0.808791209,0.930672269,0.894837476,0.770491803,0.817142857,472,0,11,2,0,1,5,2,2,0,0,530,12,4,2,1,1,3,10,0,5,15,383,17,1,4,8,9,27,2,4,9,21,429,1,16,6,5,20,5,3,6,8,0,405,3,20,4,8,31,9,8,4,24,0,368,16,0,22,4,7,1,7,0,6,5,443,1,6,0,2,1,8,11,4,0,0,468,3,26,4,12,6,38,5,25,3,3,376,16,7,3,3,13,21,12,0,26,11,429
