,Model,Average Loss,Average Precision,Average Recall,Average Train Time
0,Single_Layer_2,2.700216829776764,0.5347730219364166,0.4875499978661537,46.710275
0,Single_Layer_3,6.192239284515381,0.4929220452904701,0.4449999965727329,43.9814
0,Single_Layer_4,1.9424461424350739,0.5849821269512177,0.48592500388622284,72.34697499999999
0,Single_Layer_5,1.9358830749988556,0.5894180536270142,0.4781000092625618,66.035875
0,Single_Layer_6,1.883096158504486,0.5598276257514954,0.3870000019669533,95.33065
0,Double_Layer_2,1.3318539559841156,0.6939467340707779,0.6324499994516373,57.340149999999994
0,Double_Layer_3,1.578611046075821,0.6708223074674606,0.6140249967575073,53.213775000000005
0,Double_Layer_4,1.7940157651901245,0.6397050991654396,0.5717249885201454,97.17060000000001
0,Double_Layer_5,1.8681690096855164,0.6091464459896088,0.5469000115990639,84.697575
0,Double_Layer_6,1.6617548763751984,0.6164754629135132,0.5103249922394753,125.7319
