,Train Time,Loss Value,Iterations,Class_0_precision,Class_1_precision,Class_2_precision,Class_3_precision,Class_4_precision,Class_5_precision,Class_6_precision,Class_7_precision,Class_8_precision,Class_9_precision,Class_0_recal,Class_1_recal,Class_2_recal,Class_3_recal,Class_4_recal,Class_5_recal,Class_6_recal,Class_7_recal,Class_8_recal,Class_9_recal,Confmat_0,Confmat_1,Confmat_2,Confmat_3,Confmat_4,Confmat_5,Confmat_6,Confmat_7,Confmat_8,Confmat_9,Confmat_10,Confmat_11,Confmat_12,Confmat_13,Confmat_14,Confmat_15,Confmat_16,Confmat_17,Confmat_18,Confmat_19,Confmat_20,Confmat_21,Confmat_22,Confmat_23,Confmat_24,Confmat_25,Confmat_26,Confmat_27,Confmat_28,Confmat_29,Confmat_30,Confmat_31,Confmat_32,Confmat_33,Confmat_34,Confmat_35,Confmat_36,Confmat_37,Confmat_38,Confmat_39,Confmat_40,Confmat_41,Confmat_42,Confmat_43,Confmat_44,Confmat_45,Confmat_46,Confmat_47,Confmat_48,Confmat_49,Confmat_50,Confmat_51,Confmat_52,Confmat_53,Confmat_54,Confmat_55,Confmat_56,Confmat_57,Confmat_58,Confmat_59,Confmat_60,Confmat_61,Confmat_62,Confmat_63,Confmat_64,Confmat_65,Confmat_66,Confmat_67,Confmat_68,Confmat_69,Confmat_70,Confmat_71,Confmat_72,Confmat_73,Confmat_74,Confmat_75,Confmat_76,Confmat_77,Confmat_78,Confmat_79,Confmat_80,Confmat_81,Confmat_82,Confmat_83,Confmat_84,Confmat_85,Confmat_86,Confmat_87,Confmat_88,Confmat_89,Confmat_90,Confmat_91,Confmat_92,Confmat_93,Confmat_94,Confmat_95,Confmat_96,Confmat_97,Confmat_98,Confmat_99
0,90.1875,0.8042002604870899,265.0,0.6957983193277311,0.882768361581921,0.6676783004552352,0.7831715210355987,0.7142857142857143,0.7364705882352941,0.7345679012345679,0.8228404099560761,0.6456521739130435,0.7857142857142857,0.6624,0.9512937595129376,0.7625649913344887,0.7622047244094489,0.8347826086956521,0.6374745417515275,0.7933333333333333,0.8726708074534162,0.5111876075731497,0.6796747967479675,414.0,0.0,22.0,1.0,67.0,2.0,100.0,0.0,17.0,2.0,0.0,625.0,10.0,2.0,1.0,2.0,0.0,0.0,14.0,3.0,14.0,24.0,440.0,2.0,3.0,0.0,57.0,3.0,32.0,2.0,1.0,20.0,34.0,484.0,4.0,33.0,2.0,7.0,36.0,14.0,37.0,1.0,0.0,0.0,480.0,9.0,4.0,5.0,4.0,35.0,16.0,0.0,20.0,59.0,33.0,313.0,2.0,0.0,42.0,6.0,65.0,1.0,45.0,0.0,2.0,0.0,476.0,0.0,10.0,1.0,1.0,10.0,7.0,4.0,14.0,0.0,1.0,562.0,4.0,41.0,38.0,25.0,78.0,64.0,15.0,47.0,5.0,2.0,297.0,10.0,9.0,2.0,3.0,2.0,53.0,19.0,1.0,104.0,4.0,418.0
1,19.890625,2.1627105684064327,57.0,0.08679245283018867,0.9451038575667656,0.09210526315789473,0.11425339366515837,0.09788359788359788,0.08717948717948718,0.11586452762923351,0.13751169317118803,0.11904761904761904,0.14435146443514643,0.0736,0.969558599695586,0.08492201039861352,0.15905511811023623,0.06434782608695652,0.06924643584521385,0.10833333333333334,0.22826086956521738,0.10327022375215146,0.11219512195121951,46.0,0.0,56.0,112.0,49.0,45.0,79.0,123.0,62.0,53.0,1.0,637.0,3.0,2.0,0.0,2.0,0.0,5.0,5.0,2.0,62.0,10.0,49.0,111.0,36.0,33.0,51.0,117.0,51.0,57.0,73.0,5.0,59.0,101.0,43.0,46.0,69.0,129.0,62.0,48.0,65.0,0.0,61.0,93.0,37.0,44.0,58.0,117.0,46.0,54.0,55.0,1.0,54.0,72.0,39.0,34.0,59.0,91.0,49.0,37.0,68.0,1.0,64.0,96.0,36.0,43.0,65.0,113.0,62.0,52.0,55.0,7.0,64.0,104.0,48.0,53.0,53.0,147.0,62.0,51.0,58.0,9.0,53.0,103.0,40.0,41.0,60.0,102.0,60.0,55.0,47.0,4.0,69.0,90.0,50.0,49.0,67.0,125.0,45.0,69.0
2,27.078125,0.5295537366416327,82.0,0.9144295302013423,0.9380530973451328,0.7362204724409449,0.752112676056338,0.8587155963302753,0.6027164685908319,0.924865831842576,0.8095890410958904,0.6815742397137746,0.8155893536121673,0.872,0.9680365296803652,0.6481802426343154,0.8409448818897638,0.8139130434782609,0.7230142566191446,0.8616666666666667,0.9177018633540373,0.6557659208261618,0.697560975609756,545.0,2.0,19.0,5.0,1.0,32.0,8.0,3.0,8.0,2.0,0.0,636.0,3.0,8.0,1.0,3.0,0.0,1.0,5.0,0.0,12.0,11.0,374.0,37.0,5.0,50.0,16.0,6.0,65.0,1.0,1.0,3.0,9.0,534.0,5.0,43.0,1.0,11.0,18.0,10.0,0.0,5.0,18.0,2.0,468.0,3.0,5.0,7.0,9.0,58.0,16.0,4.0,15.0,48.0,1.0,355.0,5.0,2.0,44.0,1.0,15.0,1.0,35.0,0.0,10.0,12.0,517.0,0.0,10.0,0.0,1.0,4.0,8.0,9.0,6.0,1.0,1.0,591.0,5.0,18.0,4.0,10.0,17.0,57.0,12.0,87.0,5.0,1.0,381.0,7.0,2.0,2.0,10.0,10.0,36.0,3.0,1.0,108.0,14.0,429.0
3,45.828125,0.6011372852013417,138.0,0.7896935933147632,0.9428571428571428,0.8784648187633263,0.7302052785923754,0.8696428571428572,0.5,0.8777777777777778,0.832579185520362,0.579476861167002,0.7919463087248322,0.9072,0.954337899543379,0.7140381282495667,0.784251968503937,0.8469565217391304,0.5295315682281059,0.9216666666666666,0.8571428571428571,0.49569707401032703,0.767479674796748,567.0,0.0,0.0,2.0,0.0,48.0,3.0,0.0,4.0,1.0,1.0,627.0,6.0,2.0,5.0,1.0,1.0,2.0,11.0,1.0,5.0,11.0,412.0,86.0,6.0,9.0,16.0,4.0,27.0,1.0,14.0,0.0,37.0,498.0,0.0,19.0,2.0,32.0,31.0,2.0,0.0,3.0,2.0,1.0,487.0,0.0,12.0,1.0,7.0,62.0,107.0,0.0,1.0,31.0,1.0,260.0,30.0,3.0,57.0,1.0,4.0,1.0,3.0,0.0,6.0,22.0,553.0,0.0,11.0,0.0,0.0,4.0,3.0,18.0,5.0,5.0,0.0,552.0,26.0,31.0,18.0,15.0,5.0,43.0,9.0,145.0,12.0,21.0,288.0,25.0,2.0,4.0,0.0,1.0,41.0,11.0,1.0,48.0,35.0,472.0
4,49.625,0.13510195629616875,146.0,0.9265625,0.9562594268476622,0.8327922077922078,0.8402555910543131,0.8963636363636364,0.8739316239316239,0.8722741433021807,0.9093701996927803,0.8784029038112523,0.8617200674536256,0.9488,0.9649923896499238,0.8890814558058926,0.8283464566929134,0.8573913043478261,0.8329938900203666,0.9333333333333333,0.9192546583850931,0.8330464716006885,0.8308943089430895,593.0,0.0,9.0,3.0,1.0,2.0,13.0,1.0,3.0,0.0,1.0,634.0,9.0,5.0,1.0,1.0,0.0,1.0,3.0,2.0,7.0,5.0,513.0,22.0,4.0,4.0,10.0,7.0,5.0,0.0,4.0,4.0,35.0,526.0,1.0,29.0,2.0,12.0,15.0,7.0,2.0,2.0,0.0,0.0,493.0,2.0,29.0,5.0,4.0,38.0,11.0,3.0,8.0,25.0,1.0,409.0,19.0,1.0,9.0,5.0,5.0,1.0,11.0,0.0,6.0,6.0,560.0,0.0,11.0,0.0,6.0,1.0,11.0,14.0,3.0,0.0,0.0,592.0,2.0,15.0,7.0,10.0,18.0,20.0,6.0,14.0,7.0,0.0,484.0,15.0,4.0,3.0,2.0,11.0,34.0,1.0,2.0,32.0,15.0,511.0
5,20.015625,2.19766732943589,56.0,0.1282051282051282,0.9603803486529319,0.12776831345826234,0.12116991643454039,0.11183144246353323,0.08848080133555926,0.1001890359168242,0.11278195488721804,0.09465020576131687,0.11093247588424437,0.112,0.9223744292237442,0.12998266897746968,0.13700787401574804,0.12,0.1079429735234216,0.08833333333333333,0.11645962732919254,0.07917383820998279,0.11219512195121951,70.0,1.0,57.0,73.0,74.0,64.0,72.0,82.0,53.0,79.0,3.0,606.0,7.0,5.0,4.0,2.0,2.0,2.0,23.0,3.0,63.0,7.0,75.0,76.0,63.0,69.0,49.0,71.0,49.0,55.0,54.0,1.0,61.0,87.0,70.0,68.0,63.0,86.0,66.0,79.0,53.0,0.0,52.0,80.0,69.0,65.0,60.0,67.0,55.0,74.0,49.0,0.0,59.0,65.0,54.0,53.0,59.0,51.0,42.0,59.0,64.0,1.0,77.0,80.0,75.0,55.0,53.0,82.0,44.0,69.0,65.0,2.0,61.0,104.0,85.0,85.0,50.0,75.0,41.0,76.0,69.0,11.0,59.0,75.0,61.0,61.0,65.0,75.0,46.0,59.0,56.0,2.0,79.0,73.0,62.0,77.0,56.0,74.0,67.0,69.0
6,46.09375,1.2150568690241035,133.0,0.7412698412698413,0.45552884615384615,0.5170998632010944,0.3604060913705584,0.725752508361204,0.2987012987012987,0.7784911717495987,0.42916666666666664,0.3876582278481013,0.6823308270676691,0.7472,0.5768645357686454,0.6551126516464472,0.44724409448818897,0.7547826086956522,0.09368635437881874,0.8083333333333333,0.3198757763975155,0.42168674698795183,0.5902439024390244,467.0,0.0,43.0,90.0,0.0,19.0,3.0,0.0,2.0,1.0,1.0,379.0,6.0,1.0,0.0,2.0,1.0,231.0,26.0,10.0,41.0,3.0,378.0,40.0,6.0,16.0,43.0,3.0,42.0,5.0,73.0,38.0,30.0,284.0,1.0,27.0,3.0,6.0,167.0,6.0,0.0,1.0,5.0,0.0,434.0,0.0,51.0,0.0,2.0,82.0,32.0,2.0,103.0,214.0,0.0,46.0,8.0,1.0,83.0,2.0,3.0,0.0,99.0,0.0,6.0,1.0,485.0,0.0,5.0,1.0,0.0,351.0,2.0,2.0,5.0,1.0,2.0,206.0,29.0,46.0,12.0,26.0,54.0,155.0,2.0,42.0,18.0,11.0,245.0,16.0,1.0,32.0,11.0,2.0,144.0,0.0,9.0,22.0,31.0,363.0
7,39.65625,0.4506828775499254,115.0,0.8497790868924889,0.9526717557251908,0.7956600361663653,0.7266881028938906,0.8446771378708552,0.7995337995337995,0.8784893267651889,0.8243243243243243,0.5585874799357945,0.7851099830795262,0.9232,0.9497716894977168,0.7625649913344887,0.7118110236220473,0.8417391304347827,0.6985743380855397,0.8916666666666667,0.8524844720496895,0.5989672977624785,0.7544715447154472,577.0,0.0,6.0,1.0,2.0,9.0,6.0,1.0,23.0,0.0,0.0,624.0,2.0,4.0,0.0,3.0,4.0,6.0,12.0,2.0,15.0,3.0,440.0,13.0,7.0,4.0,22.0,9.0,62.0,2.0,2.0,10.0,10.0,452.0,2.0,34.0,1.0,15.0,99.0,10.0,2.0,1.0,2.0,0.0,484.0,4.0,14.0,6.0,8.0,54.0,35.0,4.0,2.0,59.0,3.0,343.0,12.0,2.0,28.0,3.0,10.0,3.0,12.0,0.0,12.0,7.0,535.0,1.0,20.0,0.0,3.0,0.0,8.0,9.0,18.0,2.0,0.0,549.0,13.0,42.0,28.0,9.0,71.0,68.0,3.0,18.0,12.0,10.0,348.0,14.0,7.0,1.0,0.0,16.0,42.0,5.0,3.0,67.0,10.0,464.0
8,35.015625,1.3034410466242905,100.0,0.3888888888888889,0.36713735558408217,0.22406639004149378,0.2696245733788396,0.7354409317803661,0.2482758620689655,0.2865761689291101,0.7847113884555382,0.273972602739726,0.6884955752212389,0.504,0.4353120243531202,0.18717504332755633,0.24881889763779527,0.768695652173913,0.219959266802444,0.31666666666666665,0.781055900621118,0.20654044750430292,0.6325203252032521,315.0,0.0,4.0,2.0,7.0,50.0,196.0,0.0,51.0,0.0,0.0,286.0,137.0,215.0,1.0,9.0,1.0,1.0,6.0,1.0,12.0,196.0,108.0,122.0,10.0,38.0,24.0,0.0,60.0,7.0,6.0,248.0,143.0,158.0,4.0,26.0,6.0,15.0,23.0,6.0,11.0,1.0,3.0,1.0,442.0,5.0,11.0,12.0,19.0,70.0,82.0,18.0,37.0,15.0,21.0,108.0,112.0,0.0,96.0,2.0,288.0,1.0,5.0,1.0,7.0,58.0,190.0,0.0,49.0,1.0,1.0,2.0,4.0,36.0,12.0,1.0,1.0,503.0,0.0,84.0,93.0,26.0,35.0,31.0,19.0,136.0,116.0,0.0,120.0,5.0,2.0,1.0,6.0,5.0,78.0,4.0,6.0,110.0,14.0,389.0
9,10.015625,2.6094259506261244,30.0,0.11275167785234899,0.10403120936280884,0.08445945945945946,0.1075085324232082,0.08969465648854962,0.07424593967517401,0.12075471698113208,0.11563517915309446,0.07692307692307693,0.11465892597968069,0.1344,0.121765601217656,0.08665511265164645,0.09921259842519685,0.0817391304347826,0.06517311608961303,0.10666666666666667,0.11024844720496894,0.06884681583476764,0.12845528455284552,84.0,65.0,77.0,52.0,55.0,48.0,48.0,62.0,56.0,78.0,80.0,80.0,76.0,71.0,52.0,49.0,57.0,67.0,61.0,64.0,65.0,75.0,50.0,68.0,52.0,43.0,58.0,67.0,44.0,55.0,84.0,78.0,57.0,63.0,53.0,50.0,57.0,68.0,52.0,73.0,61.0,92.0,60.0,58.0,47.0,35.0,40.0,49.0,56.0,77.0,76.0,67.0,44.0,43.0,34.0,32.0,44.0,56.0,47.0,48.0,69.0,74.0,52.0,57.0,42.0,44.0,64.0,63.0,63.0,72.0,71.0,92.0,59.0,60.0,69.0,50.0,52.0,71.0,42.0,78.0,71.0,82.0,59.0,53.0,62.0,40.0,53.0,56.0,40.0,65.0,84.0,64.0,58.0,61.0,58.0,40.0,57.0,55.0,59.0,79.0
