,Model,Average Loss,Average Precision,Average Recall,Average Train Time
0,Single_Layer_2,2.162182241678238,0.60566645860672,0.5547749996185303,47.116325
0,Single_Layer_3,2.3173673152923584,0.5947007834911346,0.5516999959945679,45.192975000000004
0,Single_Layer_4,2.2609757781028748,0.5896859765052795,0.5277999863028526,73.6033
0,Single_Layer_5,1.9240510761737823,0.5953942537307739,0.487249992787838,66.308075
0,Single_Layer_6,1.8605559170246124,0.5877939164638519,0.4567500129342079,95.3249
0,Double_Layer_2,1.063443273305893,0.7290312796831131,0.6462249755859375,57.638575
0,Double_Layer_3,1.196640282869339,0.7209142744541168,0.6609250009059906,53.6165
0,Double_Layer_4,1.11898535490036,0.7251120358705521,0.6476250141859055,98.02399999999999
0,Double_Layer_5,1.2720561623573303,0.6972524672746658,0.6099250018596649,84.46777499999999
0,Double_Layer_6,1.3645183145999908,0.6868421137332916,0.6098749935626984,126.543075
