,Model,Average Loss,Average Precision,Average Recall,Average Train Time
0,Single_Layer_2,13.52387911081314,0.37614745646715164,0.352049995213747,46.449625000000005
0,Single_Layer_3,9.635136485099792,0.1370573490858078,0.12007499858736992,43.798575
0,Single_Layer_4,16.992179334163666,0.3724263198673725,0.3034000024199486,70.94065
0,Single_Layer_5,10.377564698457718,0.5007898844778538,0.2900250032544136,65.05925
0,Single_Layer_6,10.666509628295898,0.4809602666646242,0.34757500141859055,95.2737
0,Double_Layer_2,7.391120821237564,0.3363652564585209,0.3077000081539154,58.10340000000001
0,Double_Layer_3,2.3200795650482178,0.4819043427705765,0.34740000218153,53.5843
0,Double_Layer_4,1.2122817933559418,0.6961795091629028,0.5442750006914139,99.880375
0,Double_Layer_5,2.1654084026813507,0.50544523447752,0.3734250031411648,86.0042
0,Double_Layer_6,3.638997256755829,0.4419965408742428,0.35587500035762787,127.9359
