,Model,Average Loss,Average Precision,Average Recall,Average Train Time
0,Single_Layer_2,2.206749677658081,0.6015201658010483,0.553600013256073,46.837250000000004
0,Single_Layer_3,2.269419342279434,0.5835269689559937,0.5069499984383583,43.755024999999996
0,Single_Layer_4,3.6865329444408417,0.4155345782637596,0.32532500103116035,70.6396
0,Single_Layer_5,3.51165834069252,0.42500385642051697,0.3369999974966049,64.9474
0,Single_Layer_6,9.52792751789093,0.36605101451277733,0.24712500348687172,93.412525
0,Double_Layer_2,1.0406403988599777,0.7358449697494507,0.6242499947547913,56.4629
0,Double_Layer_3,1.5191308557987213,0.6336497962474823,0.5248000025749207,51.95325
0,Double_Layer_4,3.4768182933330536,0.49769092351198196,0.4364749938249588,97.51937500000001
0,Double_Layer_5,3.0979316532611847,0.5406208895146847,0.43355000391602516,86.8973
0,Double_Layer_6,2.2076188921928406,0.5115619450807571,0.38612499833106995,123.926425
