,Model,Average Loss,Average Precision,Average Recall,Average Train Time
0,Single_Layer_2,28.098388582468033,0.3084265887737274,0.27447499334812164,47.072925
0,Single_Layer_3,2.1514672935009003,0.5838833153247833,0.4893000051379204,47.051399999999994
0,Single_Layer_4,23.131807506084442,0.3622152544558048,0.307175001129508,77.42535
0,Single_Layer_5,6.51619952917099,0.394986055791378,0.2737499997019768,72.794725
0,Single_Layer_6,1.6155045926570892,0.617007851600647,0.37484999746084213,104.3894
0,Double_Layer_2,1.1539450883865356,0.7121406048536301,0.6271499991416931,60.574775
0,Double_Layer_3,2.0279675871133804,0.6261684373021126,0.5481999889016151,52.615899999999996
0,Double_Layer_4,1.3348014950752258,0.6967195272445679,0.6186250001192093,98.40382500000001
0,Double_Layer_5,3.897946000099182,0.36337416619062424,0.32944999635219574,87.89792500000001
0,Double_Layer_6,1.8735048472881317,0.5829399898648262,0.4841249883174896,132.09025
