,Model,Average Loss,Average Precision,Average Recall,Average Train Time
0,Single_Layer_2,2.2821573615074158,0.5793159753084183,0.5247000008821487,51.954025
0,Single_Layer_3,2.3868296146392822,0.5838468372821808,0.5300749987363815,44.05155
0,Single_Layer_4,2.0638974606990814,0.5845288783311844,0.500050000846386,71.36805000000001
0,Single_Layer_5,1.9238994717597961,0.5854583233594894,0.48020000755786896,64.752925
0,Single_Layer_6,1.784457117319107,0.5925963222980499,0.45547500252723694,93.622925
0,Double_Layer_2,1.0800302475690842,0.7309236377477646,0.6431999951601028,61.94905
0,Double_Layer_3,1.1543976068496704,0.7307250201702118,0.6703999936580658,52.158024999999995
0,Double_Layer_4,1.1764487624168396,0.7172591239213943,0.636924996972084,97.448175
0,Double_Layer_5,1.2341458201408386,0.7107448428869247,0.6360750049352646,85.62020000000001
0,Double_Layer_6,1.3346661925315857,0.682337298989296,0.5915000140666962,124.38027500000001
