,Model,Average Loss,Average Precision,Average Recall,Average Train Time
0,Single_Layer_2,4.880442798137665,0.4881114885210991,0.44644999504089355,48.0957
0,Single_Layer_3,6.769771337509155,0.4205716922879219,0.3770750015974045,44.67565
0,Single_Layer_4,3.7677597403526306,0.4097195938229561,0.34734999760985374,73.22225
0,Single_Layer_5,2.174256294965744,0.5364169478416443,0.4095499962568283,65.53075
0,Single_Layer_6,1.8819047212600708,0.5449198707938194,0.3498249985277653,94.9921
0,Double_Layer_2,1.0906483232975006,0.7262274771928787,0.6283999979496002,57.7492
0,Double_Layer_3,1.9200551509857178,0.6203876733779907,0.5650250017642975,53.6415
0,Double_Layer_4,1.3436205983161926,0.6883577853441238,0.6064249873161316,97.663875
0,Double_Layer_5,1.187654435634613,0.7112800776958466,0.6195999979972839,85.084375
0,Double_Layer_6,1.2714520394802094,0.6954387128353119,0.5879499912261963,126.052825
