,Train Time,Loss Value,Iterations,Class_0_precision,Class_1_precision,Class_2_precision,Class_3_precision,Class_4_precision,Class_5_precision,Class_6_precision,Class_7_precision,Class_8_precision,Class_9_precision,Class_0_recal,Class_1_recal,Class_2_recal,Class_3_recal,Class_4_recal,Class_5_recal,Class_6_recal,Class_7_recal,Class_8_recal,Class_9_recal,Confmat_0,Confmat_1,Confmat_2,Confmat_3,Confmat_4,Confmat_5,Confmat_6,Confmat_7,Confmat_8,Confmat_9,Confmat_10,Confmat_11,Confmat_12,Confmat_13,Confmat_14,Confmat_15,Confmat_16,Confmat_17,Confmat_18,Confmat_19,Confmat_20,Confmat_21,Confmat_22,Confmat_23,Confmat_24,Confmat_25,Confmat_26,Confmat_27,Confmat_28,Confmat_29,Confmat_30,Confmat_31,Confmat_32,Confmat_33,Confmat_34,Confmat_35,Confmat_36,Confmat_37,Confmat_38,Confmat_39,Confmat_40,Confmat_41,Confmat_42,Confmat_43,Confmat_44,Confmat_45,Confmat_46,Confmat_47,Confmat_48,Confmat_49,Confmat_50,Confmat_51,Confmat_52,Confmat_53,Confmat_54,Confmat_55,Confmat_56,Confmat_57,Confmat_58,Confmat_59,Confmat_60,Confmat_61,Confmat_62,Confmat_63,Confmat_64,Confmat_65,Confmat_66,Confmat_67,Confmat_68,Confmat_69,Confmat_70,Confmat_71,Confmat_72,Confmat_73,Confmat_74,Confmat_75,Confmat_76,Confmat_77,Confmat_78,Confmat_79,Confmat_80,Confmat_81,Confmat_82,Confmat_83,Confmat_84,Confmat_85,Confmat_86,Confmat_87,Confmat_88,Confmat_89,Confmat_90,Confmat_91,Confmat_92,Confmat_93,Confmat_94,Confmat_95,Confmat_96,Confmat_97,Confmat_98,Confmat_99
0,56.0,0.4948080972741594,132.0,0.8911353032659409,0.9352941176470588,0.825147347740668,0.8497576736672051,0.44095788604459124,0.8796791443850267,0.9029605263157895,0.8319327731092437,0.7509881422924901,0.7867647058823529,0.9168,0.9680365296803652,0.7279029462738301,0.8283464566929134,0.928695652173913,0.670061099796334,0.915,0.922360248447205,0.6540447504302926,0.17398373983739837,573.0,0.0,21.0,2.0,11.0,4.0,4.0,1.0,9.0,0.0,1.0,636.0,3.0,2.0,4.0,2.0,0.0,3.0,4.0,2.0,42.0,13.0,420.0,9.0,46.0,3.0,35.0,2.0,6.0,1.0,3.0,7.0,13.0,526.0,35.0,25.0,2.0,10.0,4.0,10.0,2.0,2.0,10.0,4.0,534.0,0.0,5.0,2.0,13.0,3.0,5.0,0.0,5.0,50.0,22.0,329.0,8.0,0.0,68.0,4.0,4.0,1.0,17.0,0.0,13.0,3.0,549.0,0.0,13.0,0.0,1.0,5.0,6.0,3.0,27.0,0.0,0.0,594.0,2.0,6.0,10.0,14.0,9.0,6.0,147.0,8.0,4.0,0.0,380.0,3.0,2.0,2.0,5.0,17.0,372.0,0.0,1.0,102.0,7.0,107.0
1,54.0,0.2861949683930187,127.0,0.9378151260504202,0.9427312775330396,0.8783542039355993,0.8807495741056218,0.7871064467766117,0.8489208633093526,0.7135483870967742,0.9296235679214403,0.8097731239092496,0.8616822429906542,0.8928,0.9771689497716894,0.8509532062391681,0.8141732283464567,0.9130434782608695,0.7209775967413442,0.9216666666666666,0.8819875776397516,0.7986230636833046,0.7495934959349594,558.0,0.0,1.0,2.0,1.0,17.0,46.0,0.0,0.0,0.0,0.0,642.0,4.0,3.0,1.0,1.0,1.0,1.0,3.0,1.0,7.0,7.0,491.0,9.0,9.0,2.0,40.0,2.0,9.0,1.0,2.0,3.0,22.0,517.0,2.0,13.0,16.0,12.0,40.0,8.0,0.0,1.0,1.0,0.0,525.0,1.0,24.0,2.0,2.0,19.0,12.0,13.0,7.0,29.0,17.0,354.0,20.0,1.0,32.0,6.0,9.0,1.0,14.0,0.0,11.0,3.0,553.0,0.0,9.0,0.0,2.0,6.0,10.0,6.0,6.0,0.0,9.0,568.0,3.0,34.0,4.0,2.0,6.0,8.0,19.0,24.0,48.0,1.0,464.0,5.0,1.0,6.0,3.0,13.0,76.0,2.0,18.0,24.0,11.0,461.0
2,66.0,0.20541172814229935,157.0,0.9401574803149606,0.9623493975903614,0.865874363327674,0.8948306595365418,0.9066666666666666,0.8040816326530612,0.8921568627450981,0.9273301737756714,0.8469750889679716,0.6982167352537723,0.9552,0.9726027397260274,0.8838821490467937,0.7905511811023622,0.8278260869565217,0.8024439918533605,0.91,0.9114906832298136,0.8192771084337349,0.8276422764227642,597.0,0.0,1.0,0.0,0.0,2.0,11.0,2.0,2.0,10.0,0.0,639.0,4.0,4.0,0.0,3.0,0.0,0.0,2.0,5.0,7.0,6.0,510.0,11.0,3.0,3.0,9.0,2.0,8.0,18.0,3.0,4.0,20.0,502.0,1.0,43.0,2.0,7.0,18.0,35.0,2.0,1.0,5.0,0.0,476.0,9.0,18.0,5.0,2.0,57.0,8.0,0.0,7.0,21.0,2.0,394.0,9.0,3.0,35.0,12.0,8.0,1.0,19.0,0.0,8.0,1.0,546.0,0.0,9.0,8.0,3.0,5.0,12.0,2.0,1.0,2.0,1.0,587.0,3.0,28.0,3.0,3.0,10.0,2.0,5.0,17.0,16.0,2.0,476.0,47.0,4.0,5.0,1.0,19.0,29.0,16.0,0.0,25.0,7.0,509.0
3,95.0,0.30425335125398795,217.0,0.9419354838709677,0.9609022556390977,0.836038961038961,0.6106870229007634,0.9233576642335767,0.826879271070615,0.9056291390728477,0.9302325581395349,0.4138817480719794,0.9061946902654867,0.9344,0.9726027397260274,0.8925476603119584,0.12598425196850394,0.88,0.7393075356415478,0.9116666666666666,0.9316770186335404,0.8313253012048193,0.832520325203252,584.0,0.0,4.0,0.0,0.0,5.0,11.0,1.0,20.0,0.0,0.0,639.0,4.0,1.0,1.0,2.0,3.0,1.0,6.0,0.0,5.0,5.0,515.0,10.0,3.0,4.0,9.0,2.0,24.0,0.0,2.0,2.0,55.0,80.0,0.0,15.0,3.0,13.0,458.0,7.0,0.0,1.0,4.0,3.0,506.0,12.0,14.0,5.0,5.0,25.0,5.0,0.0,4.0,2.0,5.0,363.0,5.0,2.0,103.0,2.0,4.0,2.0,10.0,2.0,4.0,12.0,547.0,0.0,19.0,0.0,1.0,2.0,14.0,4.0,4.0,1.0,0.0,600.0,8.0,10.0,12.0,13.0,5.0,23.0,3.0,23.0,10.0,0.0,483.0,9.0,7.0,1.0,1.0,6.0,22.0,2.0,2.0,21.0,41.0,512.0
4,35.0,0.7442531869269468,81.0,0.9761092150170648,0.9754977029096478,0.12280701754385964,0.9460043196544277,0.8110749185667753,0.2777777777777778,0.2494696648281714,0.9189627228525121,0.19230769230769232,0.8537477148080439,0.9152,0.969558599695586,0.012131715771230503,0.6897637795275591,0.8660869565217392,0.03054989816700611,0.98,0.8804347826086957,0.01721170395869191,0.759349593495935,572.0,0.0,1.0,0.0,0.0,0.0,52.0,0.0,0.0,0.0,0.0,637.0,3.0,1.0,0.0,0.0,9.0,2.0,4.0,1.0,3.0,4.0,7.0,0.0,4.0,3.0,548.0,2.0,4.0,2.0,1.0,1.0,7.0,438.0,2.0,5.0,151.0,15.0,12.0,3.0,1.0,0.0,3.0,0.0,498.0,13.0,30.0,1.0,2.0,27.0,2.0,1.0,4.0,11.0,30.0,15.0,409.0,2.0,15.0,2.0,3.0,1.0,0.0,0.0,4.0,2.0,588.0,0.0,2.0,0.0,2.0,2.0,13.0,2.0,5.0,1.0,11.0,567.0,0.0,41.0,1.0,4.0,6.0,2.0,11.0,12.0,530.0,1.0,10.0,4.0,1.0,3.0,13.0,9.0,60.0,3.0,29.0,27.0,3.0,467.0
5,49.0,0.1691528263651286,110.0,0.9578606158833063,0.9564564564564565,0.8888888888888888,0.8859060402684564,0.9353049907578558,0.8619246861924686,0.9508771929824561,0.9627228525121556,0.7351724137931035,0.8667736757624398,0.9456,0.969558599695586,0.8734835355285961,0.831496062992126,0.88,0.8391038696537678,0.9033333333333333,0.922360248447205,0.9173838209982789,0.8780487804878049,591.0,0.0,6.0,2.0,0.0,3.0,8.0,0.0,15.0,0.0,0.0,637.0,4.0,5.0,0.0,0.0,0.0,0.0,9.0,2.0,6.0,11.0,504.0,16.0,7.0,1.0,4.0,3.0,24.0,1.0,0.0,0.0,24.0,528.0,0.0,36.0,1.0,7.0,27.0,12.0,0.0,2.0,3.0,3.0,506.0,2.0,7.0,4.0,12.0,36.0,3.0,0.0,3.0,19.0,4.0,412.0,7.0,0.0,39.0,4.0,5.0,1.0,3.0,0.0,6.0,11.0,542.0,0.0,32.0,0.0,1.0,4.0,9.0,5.0,3.0,0.0,0.0,594.0,8.0,20.0,5.0,7.0,10.0,8.0,2.0,8.0,0.0,0.0,533.0,8.0,6.0,4.0,1.0,10.0,13.0,5.0,1.0,9.0,26.0,540.0
6,44.0,0.5934905467501169,103.0,0.957166392092257,0.9607843137254902,0.9386973180076629,0.8855721393034826,0.6940418679549114,0.8207171314741036,0.21428571428571427,0.9095238095238095,0.3869760479041916,0.7470119521912351,0.9296,0.969558599695586,0.8492201039861352,0.8409448818897638,0.7495652173913043,0.8391038696537678,0.005,0.889751552795031,0.8898450946643718,0.6097560975609756,581.0,0.0,0.0,1.0,1.0,1.0,3.0,0.0,33.0,5.0,0.0,637.0,2.0,2.0,1.0,3.0,1.0,0.0,9.0,2.0,4.0,9.0,490.0,20.0,4.0,1.0,1.0,2.0,46.0,0.0,2.0,3.0,13.0,534.0,1.0,32.0,0.0,12.0,33.0,5.0,3.0,2.0,0.0,2.0,431.0,0.0,1.0,4.0,52.0,80.0,2.0,0.0,3.0,21.0,0.0,412.0,1.0,9.0,37.0,6.0,9.0,2.0,1.0,0.0,2.0,4.0,3.0,0.0,577.0,2.0,1.0,3.0,8.0,6.0,16.0,6.0,0.0,573.0,5.0,26.0,4.0,4.0,5.0,7.0,10.0,30.0,3.0,0.0,517.0,1.0,1.0,3.0,0.0,10.0,155.0,13.0,1.0,30.0,27.0,375.0
7,37.0,1.1437214816663055,89.0,0.9391025641025641,0.958966565349544,0.897003745318352,0.9900744416873449,0.8374792703150912,0.0,0.265625,0.20728291316526612,0.13725490196078433,0.6570048309178744,0.9376,0.9604261796042618,0.830155979202773,0.6283464566929133,0.8782608695652174,0.0,0.028333333333333332,0.9192546583850931,0.012048192771084338,0.22113821138211381,586.0,0.0,0.0,0.0,0.0,0.0,11.0,28.0,0.0,0.0,0.0,631.0,6.0,0.0,0.0,0.0,0.0,15.0,4.0,1.0,6.0,6.0,479.0,1.0,5.0,0.0,10.0,65.0,3.0,2.0,3.0,0.0,7.0,399.0,2.0,0.0,4.0,185.0,34.0,1.0,0.0,2.0,3.0,0.0,505.0,0.0,0.0,37.0,0.0,28.0,11.0,0.0,5.0,1.0,6.0,0.0,5.0,458.0,1.0,4.0,9.0,1.0,23.0,1.0,2.0,0.0,17.0,545.0,0.0,2.0,4.0,4.0,6.0,0.0,7.0,0.0,4.0,592.0,1.0,26.0,3.0,10.0,5.0,1.0,2.0,0.0,10.0,536.0,7.0,7.0,2.0,4.0,0.0,0.0,74.0,0.0,3.0,395.0,1.0,136.0
8,52.0,0.4137579813765018,141.0,0.9169381107491856,0.9691358024691358,0.5047219307450157,0.8163265306122449,0.8910369068541301,0.8391608391608392,0.8528072837632777,0.917057902973396,0.4388185654008439,0.8357723577235773,0.9008,0.9558599695585996,0.8336221837088388,0.8188976377952756,0.8817391304347826,0.7331975560081466,0.9366666666666666,0.9099378881987578,0.17900172117039587,0.8357723577235773,563.0,0.0,15.0,0.0,0.0,7.0,19.0,1.0,20.0,0.0,0.0,628.0,12.0,9.0,0.0,2.0,0.0,1.0,4.0,1.0,7.0,8.0,481.0,6.0,2.0,2.0,21.0,3.0,43.0,4.0,1.0,1.0,49.0,520.0,1.0,30.0,1.0,7.0,12.0,13.0,0.0,0.0,5.0,0.0,507.0,4.0,13.0,12.0,6.0,28.0,14.0,1.0,11.0,48.0,8.0,360.0,9.0,4.0,18.0,18.0,3.0,1.0,11.0,0.0,7.0,1.0,562.0,0.0,15.0,0.0,0.0,4.0,18.0,3.0,6.0,1.0,4.0,586.0,5.0,17.0,23.0,0.0,337.0,38.0,11.0,18.0,29.0,1.0,104.0,20.0,3.0,5.0,14.0,13.0,27.0,4.0,1.0,24.0,10.0,514.0
9,27.0,1.2165719402758672,63.0,0.9673539518900344,0.9378698224852071,0.7477341389728097,0.0,0.9381044487427466,0.0,0.13157894736842105,0.45042492917847027,0.6538461538461539,0.18696343402225754,0.9008,0.9649923896499238,0.8578856152512998,0.0,0.8434782608695652,0.0,0.008333333333333333,0.2468944099378882,0.029259896729776247,0.9560975609756097,563.0,0.0,1.0,0.0,1.0,0.0,21.0,2.0,0.0,37.0,0.0,634.0,5.0,0.0,0.0,0.0,0.0,2.0,3.0,13.0,2.0,12.0,495.0,0.0,3.0,0.0,1.0,25.0,0.0,39.0,0.0,0.0,70.0,0.0,1.0,0.0,1.0,84.0,1.0,478.0,0.0,5.0,0.0,0.0,485.0,0.0,1.0,25.0,1.0,58.0,3.0,0.0,3.0,0.0,5.0,0.0,8.0,6.0,1.0,465.0,9.0,1.0,2.0,0.0,3.0,0.0,5.0,3.0,0.0,577.0,3.0,5.0,78.0,0.0,8.0,0.0,1.0,159.0,1.0,389.0,1.0,15.0,7.0,1.0,3.0,0.0,0.0,36.0,17.0,501.0,1.0,4.0,1.0,0.0,8.0,0.0,0.0,11.0,2.0,588.0
10,44.0,0.256092788767292,111.0,0.924031007751938,0.98,0.6532797858099063,0.8678929765886287,0.9066666666666666,0.8011928429423459,0.8613251155624037,0.9305785123966942,0.8954248366013072,0.8061389337641357,0.9536,0.969558599695586,0.8457538994800693,0.8173228346456692,0.8278260869565217,0.8207739307535642,0.9316666666666666,0.8742236024844721,0.7074010327022375,0.8113821138211382,596.0,0.0,21.0,0.0,0.0,5.0,3.0,0.0,0.0,0.0,1.0,637.0,9.0,4.0,0.0,0.0,0.0,1.0,2.0,3.0,10.0,3.0,488.0,7.0,6.0,3.0,52.0,1.0,7.0,0.0,0.0,2.0,58.0,519.0,2.0,29.0,2.0,7.0,5.0,11.0,1.0,1.0,16.0,2.0,476.0,12.0,8.0,4.0,4.0,51.0,18.0,1.0,10.0,26.0,2.0,403.0,14.0,0.0,15.0,2.0,7.0,0.0,8.0,0.0,3.0,17.0,559.0,0.0,6.0,0.0,1.0,0.0,22.0,4.0,2.0,3.0,1.0,563.0,3.0,45.0,8.0,3.0,95.0,16.0,5.0,24.0,10.0,1.0,411.0,8.0,3.0,3.0,20.0,20.0,29.0,7.0,0.0,28.0,6.0,499.0
