,Name,Avg_Loss,Min_Loss,Max_Loss,Avg_Iters,Min_Iters,Max_Iters,Avg_Prec,Min_Prec,Max_Prec,Avg_Recall,Min_Recall,Max_Recall
0,single_layer_20,2.031961546,1.463027495,2.30130777,74.72,27,198,0.135065186,0.01095,0.397131384,0.187357734,0.1,0.378423421
0,single_layer_40,1.359046287,0.287931313,2.300949906,96.52,28,224,0.441345241,0.01095,0.860579218,0.428662934,0.1,0.850432715
0,single_layer_60,0.926242063,0.157802388,2.300961522,112.48,32,216,0.608503383,0.01095,0.891807496,0.596924669,0.1,0.882307915
0,single_layer_80,0.517332909,0.142223321,1.683979523,131.8,34,213,0.766313992,0.295650031,0.895068253,0.749840149,0.287485688,0.889710014
0,single_layer_100,0.281544459,0.103473595,1.275856859,128.86,50,209,0.85602131,0.468342077,0.909409515,0.845615552,0.458179446,0.908104456
0,single_layer_120,0.193859215,0.101398265,0.742801243,115.2,50,248,0.883046146,0.705893818,0.91270262,0.878075439,0.658488768,0.912058312
0,double_layer_20,1.802806125,0.346802932,2.309420885,99.86,13,357,0.207821262,0.010938544,0.833119665,0.2752339,0.099695586,0.827642718
0,double_layer_40,1.249422264,0.119118637,2.30195263,140.9,20,400,0.445858681,0.010936979,0.877289108,0.477461554,0.099847793,0.876111972
0,double_layer_60,0.673987576,0.042448163,2.301241551,163.8,24,355,0.678741587,0.01095,0.908683143,0.68876566,0.1,0.908381428
0,double_layer_80,0.620695065,0.055567626,2.301427811,159.36,22,382,0.69642998,0.01095,0.911161962,0.707362484,0.1,0.91110694
0,double_layer_100,0.592112402,0.028278437,2.300331131,142.86,14,296,0.716767517,0.110944278,0.914175199,0.715797448,0.100313632,0.914747305
0,double_layer_120,0.548982099,0.039402621,2.205975758,156.48,20,329,0.722927315,0.111496588,0.913044332,0.730441422,0.16432,0.913302187
0,triple_layer_20,1.001831708,0.187241396,2.30097629,165.9,21,400,0.549569832,0.01095,0.857198754,0.577042228,0.1,0.856864341
0,triple_layer_40,0.239061888,0.0424012,2.301024784,173.34,25,334,0.839488977,0.01095,0.901379065,0.840994663,0.1,0.901526033
0,triple_layer_60,0.101365425,0.001402233,0.599320234,136.98,83,293,0.883172096,0.755689998,0.924961605,0.88284838,0.750891246,0.925163513
0,triple_layer_80,0.05480518,0.001008877,0.491480944,125.88,73,280,0.899149154,0.77907852,0.933127886,0.898976128,0.777649379,0.932969462
0,triple_layer_100,0.044106346,0.001196639,0.372635856,122.68,59,263,0.903229843,0.794378551,0.931889755,0.903203493,0.794784386,0.932067891
0,triple_layer_120,0.017399718,0.001223516,0.111067957,103.84,53,213,0.91419777,0.864090145,0.933856272,0.914185375,0.864432394,0.934060871
0,quadruple_layer_20,0.598057205,0.089713374,2.301015256,177.04,24,369,0.705502304,0.01095,0.892247856,0.716476289,0.099700859,0.892592821
0,quadruple_layer_40,0.050287396,0.0009057,0.218037015,130.46,84,228,0.897801302,0.847012211,0.922173522,0.897574626,0.843159403,0.922708008
0,quadruple_layer_60,0.013765271,0.001051352,0.087265123,96.26,63,178,0.915170235,0.883503245,0.932493605,0.91506922,0.882368241,0.932731598
0,quadruple_layer_80,0.004123875,0.001033037,0.038734058,73.64,55,110,0.926614054,0.907581463,0.939680365,0.926826471,0.906072285,0.940411341
0,quadruple_layer_100,0.001384953,0.001006291,0.001697088,65.34,49,104,0.931911741,0.916960961,0.942164407,0.932161132,0.916847227,0.942286688
0,quadruple_layer_120,0.001444705,0.001193939,0.001650488,55.68,43,84,0.933512954,0.922186425,0.940703479,0.933815041,0.922344457,0.940939383
