,Name,Avg_Loss,Min_Loss,Max_Loss,Avg_Iters,Min_Iters,Max_Iters,Avg_Prec,Min_Prec,Max_Prec,Avg_Recall,Min_Recall,Max_Recall
0,single_layer_20,1.9416703200722893,1.1715528318223516,2.3026155203776764,84.96,17.0,203.0,0.17286773485822657,0.010733333333333334,0.46704418423775407,0.21743271335278597,0.1,0.45793999545759156
0,single_layer_40,1.269285991187521,0.27708651311116744,2.0961879702349067,92.98,46.0,195.0,0.4783653817493833,0.10204063782383799,0.8643512074584034,0.46025756099529885,0.1738899075971668,0.8545150020693215
0,single_layer_60,0.8543128173611423,0.1140480537332829,1.8600494347934273,107.06,22.0,288.0,0.6434572430966974,0.2674174493418847,0.9023294030208253,0.6233400093356182,0.2864232142726313,0.8980341739656252
0,single_layer_80,0.4984738642831747,0.11986114752469837,1.6434736419999652,127.6,37.0,208.0,0.770074991314645,0.2561083815703883,0.902356233276492,0.7595665425089712,0.30590296029343167,0.8984275025588946
0,single_layer_100,0.25278288879094196,0.12013002437587447,1.1563050145836187,129.06,61.0,273.0,0.8641614336720786,0.5102606029516872,0.9122992921230555,0.8582592217306584,0.4998741589035428,0.9082572937498421
0,single_layer_120,0.1966578813649836,0.07951877824333602,0.46236085587147474,121.92,57.0,208.0,0.8807202772752286,0.8185258156117344,0.9138866105177093,0.8755108713247824,0.7966381443890674,0.9111896030643569
0,double_layer_20,1.7753496402136977,0.42807464976717136,2.3013854842620116,110.04,23.0,286.0,0.22343146025690763,0.01095,0.8006841465661427,0.28266471456841746,0.1,0.8010370965296124
0,double_layer_40,1.1077039143886263,0.1165398374529908,2.3014798448072344,162.72,21.0,336.0,0.5026957402679555,0.01095,0.8883912467254392,0.5238555745861752,0.1,0.8878449936602918
0,double_layer_60,0.8025723664647127,0.044875976980590454,2.3011208109601395,165.32,20.0,400.0,0.6261454649311785,0.01095,0.9065194390634795,0.641560025494465,0.1,0.9063712859206486
0,double_layer_80,0.5793328648241655,0.0735650052417926,2.301294424256027,167.48,13.0,355.0,0.7140823555572973,0.010951825304217368,0.9031729268025112,0.7189641901220197,0.1,0.9019743919194406
0,double_layer_100,0.6036872689263572,0.0302082627071229,2.3014673857910775,152.66,13.0,299.0,0.7099903202895202,0.010935155859309886,0.9153026699985244,0.7168140183692147,0.09984779299847793,0.9142904548387539
0,double_layer_120,0.46571185261978554,0.015889916921180053,2.301375226356091,151.78,20.0,282.0,0.7602290605204876,0.010951825304217368,0.9200630111920141,0.759125893569039,0.1,0.9192028844485142
0,triple_layer_20,1.0174250143722174,0.17586860617815395,2.301100075715608,157.24,24.0,400.0,0.5487085095102493,0.01095,0.8722798060830705,0.5731306097760572,0.1,0.8722390462580997
0,triple_layer_40,0.3890731042778721,0.04258713130494386,2.301023926473219,157.48,23.0,301.0,0.777052402631947,0.01095,0.9139252243728168,0.783528903724466,0.1,0.9132281706375212
0,triple_layer_60,0.17751514212724373,0.0011744855199875015,2.301067189550642,126.82,24.0,303.0,0.8535801473357814,0.01095,0.9245614512412363,0.8571540991745874,0.1,0.9250337500622438
0,triple_layer_80,0.05319360757407059,0.0012196849202160383,0.2320100077962079,136.84,75.0,305.0,0.896470277095964,0.8314418024039234,0.9303580105774995,0.8965337972800032,0.8316792055829876,0.9301008951042327
0,triple_layer_100,0.05897388259436718,0.00121742224665993,1.659622959923893,110.38,59.0,190.0,0.8973480101418481,0.2115341833293088,0.9327603906513235,0.899238671155077,0.2989523275543641,0.932939636278513
0,triple_layer_120,0.033297667245186735,0.000946997492596646,0.36084067963593386,113.04,58.0,303.0,0.9095206805436433,0.8403241737486065,0.9374169608518811,0.9095392810919374,0.8404559007360997,0.9378023382557359
0,quadruple_layer_20,0.5343520415984251,0.08941925815025237,2.3009942405190884,169.32,21.0,323.0,0.7197806099019003,0.01095,0.8865829596717782,0.7335563075597739,0.1,0.8867662296169442
0,quadruple_layer_40,0.05513179816683082,0.001229756223829119,0.1580850749659212,124.94,81.0,230.0,0.8961490855399173,0.8530638205312966,0.9196080690865378,0.8958670813961178,0.8515535666367386,0.9191313780038101
0,quadruple_layer_60,0.012181645609138097,0.000985932380916984,0.0640869903394788,93.46,67.0,131.0,0.918853201261289,0.8971027292656014,0.9325258048184695,0.9189688898171815,0.8955291873273687,0.9329172039354233
0,quadruple_layer_80,0.005167381688476679,0.0010703142427340565,0.0675172998880189,76.44,52.0,138.0,0.9260168261320783,0.8875528524070246,0.9409864167428443,0.9262097613623063,0.8880487220627638,0.9414664388328362
0,quadruple_layer_100,0.004210327782563167,0.001124435479772679,0.08940750503628848,68.36,43.0,147.0,0.9286070813753884,0.8671913275052215,0.9375082470830158,0.9287875843003967,0.8650701851850364,0.9376600254281039
0,quadruple_layer_120,0.0014201289912120672,0.0011262153442716217,0.001695979817948798,57.84,43.0,103.0,0.9325801698329786,0.9201183165567413,0.9406273682076189,0.932896492099734,0.9206263656634116,0.9411079027309354
