,Name,Avg_Loss,Min_Loss,Max_Loss,Avg_Iters,Min_Iters,Max_Iters,Avg_Prec,Min_Prec,Max_Prec,Avg_Recall,Min_Recall,Max_Recall
0,single_layer_20,1.9304144202830091,1.2230361611148242,2.3012153601136536,89.22,22.0,236.0,0.1849202540853659,0.01095,0.4872125914063745,0.21958950734162808,0.1,0.4622812749063443
0,single_layer_40,1.4018983038275679,0.3449529312083412,2.300696465795753,80.76,25.0,205.0,0.4249019788963741,0.11095547773886945,0.8307574247657155,0.41092716829879905,0.10047999999999999,0.801472763156372
0,single_layer_60,0.8475362934543226,0.20528497788411068,1.7554663896103113,118.34,26.0,258.0,0.6415860762293846,0.27204808454181606,0.8869303128482982,0.6227525296858561,0.2799691811851498,0.8817021373708613
0,single_layer_80,0.46257533962477504,0.12602381116855382,1.6953137073723126,130.56,40.0,217.0,0.7821927074974129,0.26157312208535777,0.9032362640657681,0.7709953269768062,0.2921684297713249,0.9012820862041
0,single_layer_100,0.25878377904180483,0.10599423864557543,1.1675673502671526,135.8,78.0,289.0,0.8606073029632197,0.49983240821293584,0.9094503441091046,0.8525143617215339,0.5011012899566772,0.9078311750105723
0,single_layer_120,0.17998511169729564,0.08044839538348755,0.34662935548269463,115.88,71.0,177.0,0.8856828708856039,0.8296891053066358,0.9147614062774354,0.8816946035895353,0.8179467109075735,0.9141034114284903
0,double_layer_20,1.9221779129045922,0.29964461491263955,2.309380215340055,88.54,21.0,341.0,0.16108552837775136,0.01,0.8361374913612142,0.23283206016762403,0.1,0.829413249127799
0,double_layer_40,1.4246034044098754,0.21232058750419647,2.3218807266294172,119.98,23.0,322.0,0.38424487040560334,0.010568428071345224,0.8488119511366252,0.4173446205160228,0.09984251968503936,0.8485480152949295
0,double_layer_60,0.9648860567976776,0.04466051324861441,2.311008073724712,148.08,14.0,339.0,0.575032165237551,0.01095,0.906284250138377,0.5910882318501502,0.1,0.9058178868407483
0,double_layer_80,0.8655656417111275,0.03051899336511808,2.3058684420486597,135.36,16.0,299.0,0.6119187823551308,0.010583333333333333,0.9180903210127977,0.6193733299968596,0.09969558599695585,0.9182870689263819
0,double_layer_100,0.6735349329751245,0.04526606760999179,2.3048349889057977,146.48,18.0,288.0,0.6862680264161688,0.010586862287429142,0.9102166948424912,0.6901609618074087,0.1,0.9109726137340102
0,double_layer_120,0.642128462840242,0.029003310032865274,2.3121729537002538,145.28,14.0,329.0,0.6901999852491915,0.00962147740536935,0.9210641017197323,0.6977264265304709,0.09984779299847793,0.9215844453572947
0,triple_layer_20,1.1800529631518728,0.16758985268801588,2.3118119103015093,131.34,28.0,288.0,0.4772962777998629,0.010723815877251502,0.8706894497394156,0.5132002895852334,0.09984472049689441,0.8701989188587531
0,triple_layer_40,0.314575296433381,0.040270368460714336,2.30385459949568,166.3,30.0,306.0,0.8051687108871026,0.010733333333333334,0.9082432505349077,0.8092092880035373,0.1,0.9083524315129925
0,triple_layer_60,0.18120362949112134,0.0010530186648909869,2.3089575507324134,136.0,29.0,307.0,0.8538003649885236,0.008183333333333332,0.929882184886439,0.8550555148864184,0.1,0.9307396326808947
0,triple_layer_80,0.17160475137073752,0.0011132851997694415,2.3021933942038184,125.12,15.0,253.0,0.8516482268366927,0.010938802734700683,0.9286140129691576,0.8552918833605,0.09984779299847793,0.9283414311583517
0,triple_layer_100,0.022080745800652953,0.000945645349796905,0.12796066419549942,117.94,66.0,275.0,0.9129324913880724,0.8705822213033383,0.9327434451695271,0.9127459279437297,0.8704426510639118,0.9332144280539622
0,triple_layer_120,0.021814970816170204,0.0009168762884811166,0.21079508097494795,97.24,57.0,153.0,0.9157678442085815,0.8706805299960736,0.9369186388639632,0.9156708734821328,0.8672721275104838,0.9370365158062544
0,quadruple_layer_20,0.4487089650206453,0.07543379580535414,2.3091048810154637,174.68,22.0,322.0,0.762970391338082,0.010733333333333334,0.8990790348879978,0.7680509949055511,0.1,0.8994929840631393
0,quadruple_layer_40,0.056107959517354776,0.0011014112724711067,0.17016304544259692,123.38,73.0,235.0,0.8974391840058693,0.8584592276110306,0.9260233009650551,0.8972612465917567,0.8560131969251396,0.9257141696132466
0,quadruple_layer_60,0.056682222535671345,0.0008502123997687546,2.30268062489123,98.36,34.0,220.0,0.9014114638113258,0.010733333333333334,0.931071690733536,0.9032448052683981,0.1,0.9312643913778453
0,quadruple_layer_80,0.0032262851317147834,0.0009565073782789235,0.03008729095259818,83.04,57.0,126.0,0.9261328233854813,0.9074212129255808,0.9357475370626341,0.9264154647014904,0.9068667564555055,0.9356864729495851
0,quadruple_layer_100,0.001209069905413831,0.0008942661088654307,0.0015818614842991441,68.78,48.0,101.0,0.9320546219813842,0.9161819295085989,0.9394389254380988,0.9323619291443898,0.9165110702482575,0.9400736394434848
0,quadruple_layer_120,0.001633517118610649,0.0010454880048434616,0.020488356250623306,60.8,46.0,76.0,0.9343829036878644,0.9207209346084906,0.9420594785472455,0.9346466867155371,0.9207866118700798,0.9425798207334211
