,Name,train time [s],layers,loss val,iters,Class_0_precs,Class_1_precs,Class_2_precs,Class_3_precs,Class_4_precs,Class_5_precs,Class_6_precs,Class_7_precs,Class_8_precs,Class_9_precs,Class_0_recall,Class_1_recall,Class_2_recall,Class_3_recall,Class_4_recall,Class_5_recall,Class_6_recall,Class_7_recall,Class_8_recall,Class_9_recall,Confmat_0,Confmat_1,Confmat_2,Confmat_3,Confmat_4,Confmat_5,Confmat_6,Confmat_7,Confmat_8,Confmat_9,Confmat_10,Confmat_11,Confmat_12,Confmat_13,Confmat_14,Confmat_15,Confmat_16,Confmat_17,Confmat_18,Confmat_19,Confmat_20,Confmat_21,Confmat_22,Confmat_23,Confmat_24,Confmat_25,Confmat_26,Confmat_27,Confmat_28,Confmat_29,Confmat_30,Confmat_31,Confmat_32,Confmat_33,Confmat_34,Confmat_35,Confmat_36,Confmat_37,Confmat_38,Confmat_39,Confmat_40,Confmat_41,Confmat_42,Confmat_43,Confmat_44,Confmat_45,Confmat_46,Confmat_47,Confmat_48,Confmat_49,Confmat_50,Confmat_51,Confmat_52,Confmat_53,Confmat_54,Confmat_55,Confmat_56,Confmat_57,Confmat_58,Confmat_59,Confmat_60,Confmat_61,Confmat_62,Confmat_63,Confmat_64,Confmat_65,Confmat_66,Confmat_67,Confmat_68,Confmat_69,Confmat_70,Confmat_71,Confmat_72,Confmat_73,Confmat_74,Confmat_75,Confmat_76,Confmat_77,Confmat_78,Confmat_79,Confmat_80,Confmat_81,Confmat_82,Confmat_83,Confmat_84,Confmat_85,Confmat_86,Confmat_87,Confmat_88,Confmat_89,Confmat_90,Confmat_91,Confmat_92,Confmat_93,Confmat_94,Confmat_95,Confmat_96,Confmat_97,Confmat_98,Confmat_99
57,Control_v1_57,38.515625,"(20, 20, 20, 20)",0.0906725472080217,138,0.9355509355509356,0.9607142857142857,0.8476394849785408,0.8563106796116505,0.8997821350762527,0.841541755888651,0.9142259414225942,0.8257191201353637,0.841991341991342,0.8541266794625719,0.9090909090909091,0.955595026642984,0.8386411889596603,0.8546511627906976,0.8463114754098361,0.8637362637362638,0.9180672268907563,0.9330783938814532,0.7971311475409836,0.8476190476190476,450,2,16,0,5,2,8,3,3,6,2,538,12,7,2,0,0,1,1,0,4,2,395,9,9,4,5,18,23,2,1,9,18,441,1,23,0,16,4,3,2,1,4,1,413,0,10,18,4,35,2,1,1,24,0,393,13,1,16,4,4,4,10,0,5,8,437,0,8,0,3,2,7,8,2,0,0,488,1,12,9,1,3,23,4,29,5,11,389,14,4,0,0,2,18,8,0,35,13,445
58,Control_v1_58,40.59375,"(20, 20, 20, 20)",0.07393142844667122,146,0.9498910675381264,0.9158249158249159,0.8165322580645161,0.822429906542056,0.8003629764065335,0.8904761904761904,0.8870967741935484,0.9183266932270916,0.8673913043478261,0.839835728952772,0.8808080808080808,0.9662522202486679,0.8598726114649682,0.8527131782945736,0.9036885245901639,0.8219780219780219,0.9243697478991597,0.8814531548757171,0.8176229508196722,0.7790476190476191,436,0,28,1,6,11,10,1,2,0,0,544,6,1,1,2,0,2,7,0,5,4,405,14,12,4,9,10,8,0,1,10,23,440,4,11,2,10,9,6,0,3,5,0,441,1,10,1,4,23,4,9,1,33,0,374,17,2,14,1,8,2,5,0,9,7,440,1,3,1,0,1,8,13,7,0,0,461,0,33,3,16,9,24,7,8,7,1,399,14,2,5,6,9,64,2,1,13,14,409
59,Control_v1_59,59.3125,"(20, 20, 20, 20)",0.8375956198236165,215,0.6537216828478964,0.8446601941747572,0.7313432835820896,0.6382536382536382,0.6391509433962265,0.33548387096774196,0.7289048473967684,0.6515151515151515,0.46089385474860334,0.6211180124223602,0.8161616161616162,0.9271758436944938,0.6242038216560509,0.5949612403100775,0.555327868852459,0.34285714285714286,0.8529411764705882,0.739961759082218,0.33811475409836067,0.5714285714285714,404,1,1,13,7,45,0,12,5,7,0,522,15,1,2,2,11,0,9,1,9,44,294,57,5,15,22,3,21,1,26,4,59,307,8,44,5,10,50,3,0,1,1,0,271,4,88,8,7,108,114,9,12,31,8,156,4,39,73,9,2,20,0,0,13,15,406,4,14,2,21,2,2,5,9,39,3,387,10,45,37,15,18,67,8,133,8,30,165,7,5,0,0,0,93,12,10,101,4,300
60,Control_v1_60,50.890625,"(20, 20, 20, 20)",0.16140846436078066,182,0.9101796407185628,0.9045226130653267,0.8373626373626374,0.7280130293159609,0.7765765765765765,0.8624338624338624,0.8903508771929824,0.882466281310212,0.7584033613445378,0.8463251670378619,0.9212121212121213,0.9591474245115453,0.8089171974522293,0.8662790697674418,0.8831967213114754,0.7164835164835165,0.8529411764705882,0.875717017208413,0.7397540983606558,0.7238095238095238,456,0,14,4,2,3,5,4,4,3,0,540,6,4,1,0,0,0,12,0,10,16,381,16,8,0,10,6,22,2,2,6,15,447,1,9,1,6,26,3,0,4,5,0,431,1,15,4,0,28,16,0,1,52,2,326,17,2,35,4,10,0,19,0,15,16,406,0,9,1,0,4,7,18,13,0,0,458,1,22,4,23,7,57,8,18,2,2,361,6,3,4,0,16,74,5,0,37,6,380
61,Control_v1_61,55.640625,"(20, 20, 20, 20)",0.2644721716790524,203,0.9004237288135594,0.95,0.7387218045112782,0.8098290598290598,0.8179824561403509,0.6939571150097466,0.8509316770186336,0.9035916824196597,0.6597510373443983,0.803960396039604,0.8585858585858586,0.9449378330373002,0.8343949044585988,0.7344961240310077,0.764344262295082,0.7824175824175824,0.8634453781512605,0.9139579349904398,0.6516393442622951,0.7733333333333333,425,0,29,8,1,14,5,4,8,1,1,532,11,0,2,7,0,2,7,1,1,6,393,22,2,4,18,6,15,4,5,3,38,379,4,36,5,18,19,9,0,6,11,0,373,1,21,3,24,49,21,4,5,11,1,356,8,1,43,5,9,3,17,0,5,3,411,0,27,1,0,2,9,13,2,0,0,478,2,17,9,3,13,24,14,80,15,0,318,12,1,1,6,11,52,12,0,17,19,406
62,Control_v1_62,54.125,"(20, 20, 20, 20)",0.11743829177319312,196,0.9631236442516269,0.9388111888111889,0.8336713995943205,0.8697478991596639,0.8260869565217391,0.8095238095238095,0.8782435129740519,0.875,0.7928286852589641,0.8442622950819673,0.896969696969697,0.9538188277087034,0.8726114649681529,0.8023255813953488,0.8565573770491803,0.7846153846153846,0.9243697478991597,0.9369024856596558,0.8155737704918032,0.7847619047619048,444,0,14,2,2,8,15,2,6,2,0,537,6,2,2,1,1,2,12,0,1,6,411,7,4,6,11,6,17,2,0,10,21,414,2,21,3,21,20,4,1,1,10,0,418,7,12,1,1,37,5,5,3,22,9,357,13,3,32,6,2,2,6,0,8,8,440,0,10,0,1,1,9,5,2,0,0,490,1,14,3,9,12,18,4,23,6,4,398,11,4,1,1,6,55,10,0,31,5,412
63,Control_v1_63,53.671875,"(20, 20, 20, 20)",0.25433527516566246,194,0.9330543933054394,0.9709090909090909,0.782608695652174,0.7872340425531915,0.7545787545787546,0.7516778523489933,0.8265107212475633,0.8644688644688645,0.7801418439716312,0.8333333333333334,0.901010101010101,0.9484902309058615,0.8407643312101911,0.7887596899224806,0.8442622950819673,0.7384615384615385,0.8907563025210085,0.9024856596558317,0.6762295081967213,0.7523809523809524,446,0,11,1,4,19,13,0,0,1,0,534,5,4,1,1,3,3,12,0,2,1,396,17,6,8,19,7,14,1,1,2,39,407,4,22,4,14,22,1,0,0,4,0,412,4,11,10,4,43,22,4,6,21,11,336,21,3,30,1,1,2,24,0,10,10,424,0,5,0,1,2,5,12,3,0,1,472,0,27,2,5,16,49,22,42,16,1,330,5,3,0,0,6,73,5,1,36,6,395
64,Control_v1_64,69.328125,"(20, 20, 20, 20)",0.17642114079112986,249,0.9,0.8747913188647746,0.7479838709677419,0.7585551330798479,0.8479087452471483,0.7777777777777778,0.8845315904139434,0.8555758683729433,0.7693965517241379,0.8710359408033826,0.8363636363636363,0.9307282415630551,0.7876857749469215,0.7732558139534884,0.9139344262295082,0.7692307692307693,0.8529411764705882,0.8948374760994264,0.7315573770491803,0.7847619047619048,414,22,1,9,2,25,6,0,16,0,3,524,20,0,1,0,4,5,6,0,3,17,371,27,11,6,12,6,16,2,5,2,53,399,2,14,2,18,14,7,1,1,5,1,446,3,5,4,4,18,10,6,7,37,2,350,14,1,22,6,4,4,22,0,10,10,406,0,20,0,0,11,5,16,4,1,0,468,0,18,17,12,10,34,8,27,7,6,357,10,3,0,2,3,40,14,3,39,9,412
65,Control_v1_65,40.34375,"(20, 20, 20, 20)",0.26212687604158386,144,0.8385826771653543,0.9605026929982047,0.7518939393939394,0.823170731707317,0.8734177215189873,0.868020304568528,0.8645418326693227,0.8609625668449198,0.6985138004246284,0.8538011695906432,0.8606060606060606,0.9502664298401421,0.8428874734607219,0.7848837209302325,0.8483606557377049,0.7516483516483516,0.9117647058823529,0.9235181644359465,0.6741803278688525,0.8342857142857143,426,0,7,0,4,0,16,0,42,0,0,535,11,1,3,4,0,4,5,0,6,4,397,9,6,0,9,5,35,0,1,5,37,405,1,30,1,12,16,8,0,1,8,0,414,2,22,1,2,38,25,1,7,38,1,342,9,1,27,4,7,1,15,0,11,0,434,0,8,0,1,1,9,5,1,0,0,483,4,19,39,5,36,29,6,9,10,19,329,6,3,4,1,5,27,7,1,36,3,438
66,Control_v1_66,41.125,"(20, 20, 20, 20)",0.2541730528362352,149,0.9311064718162839,0.920863309352518,0.7475728155339806,0.7987421383647799,0.7874762808349146,0.7868480725623582,0.869215291750503,0.8784029038112523,0.726530612244898,0.8436830835117773,0.901010101010101,0.9094138543516874,0.8174097664543525,0.7383720930232558,0.8504098360655737,0.7626373626373626,0.907563025210084,0.9254302103250478,0.7295081967213115,0.7504761904761905,446,0,9,5,6,13,7,3,2,4,0,512,16,4,0,1,1,6,23,0,7,6,385,19,13,2,20,5,13,1,1,9,48,381,0,29,1,11,31,5,1,2,6,0,415,1,20,4,4,35,12,0,12,22,2,347,10,1,43,6,3,1,12,0,8,11,432,0,8,1,1,6,7,6,4,4,0,484,0,11,4,19,18,34,13,26,5,3,356,10,4,1,2,6,66,7,1,34,10,394
