,Model,Average Prediction Time,Average Compensation Time
0,Single_Layer_2,0.2787337749999992,0.016025099999999348
0,Single_Layer_3,0.21494207500000329,0.01621305000000106
0,Single_Layer_4,0.22356410000000437,0.016501825000020176
0,Single_Layer_5,0.2194582499999882,0.01696312499998953
0,Single_Layer_6,0.2462858500000209,0.016614799999970842
