,Model,Average Loss,Average Precision,Average Recall
0,Single_Layer_2,1.4522736072540283,0.6363755464553833,0.40002499520778656
1,Single_Layer_3,1.4533188045024872,0.6380829364061356,0.3872000053524971
2,Single_Layer_4,1.5003207921981812,0.6276286095380783,0.3402250036597252
3,Single_Layer_5,1.4643650650978088,0.6312239617109299,0.3507000058889389
4,Single_Layer_6,1.5147355198860168,0.631210207939148,0.3052249997854233
5,Double_Layer_2,1.2091485559940338,0.6991632878780365,0.48167499899864197
6,Double_Layer_3,1.2148416936397552,0.6940908879041672,0.49014999717473984
7,Double_Layer_4,1.3175418078899384,0.6694713681936264,0.45614999532699585
8,Double_Layer_5,1.346740871667862,0.6580315381288528,0.4465999901294708
9,Double_Layer_6,1.3904660046100616,0.6579539626836777,0.39707500487565994
0,Triple_Layer_2,1.181546926498413,0.7095791697502136,0.4922249987721443
0,Triple_Layer_3,1.1865960955619812,0.7114799618721008,0.49482500553131104
0,Triple_Layer_4,1.249447077512741,0.6940282136201859,0.47722500562667847
0,Triple_Layer_5,1.3046530187129974,0.6832555532455444,0.4302000030875206
0,Triple_Layer_6,1.3233030140399933,0.6889987885951996,0.4031499996781349
