,Model,Average Loss,Average Precision,Average Recall
0,Single_Layer_2,1.9622964560985565,0.6065410822629929,0.537324994802475
1,Single_Layer_3,2.2990883588790894,0.5757989883422852,0.5187750086188316
2,Single_Layer_4,2.024392396211624,0.5704439580440521,0.46377500891685486
3,Single_Layer_5,1.909325361251831,0.586509495973587,0.4697499945759773
4,Single_Layer_6,1.7641008496284485,0.5989657342433929,0.4389999955892563
5,Double_Layer_2,1.0900197625160217,0.730306550860405,0.6482249945402145
6,Double_Layer_3,1.2124906480312347,0.7189400643110275,0.6579499989748001
7,Double_Layer_4,1.1647825241088867,0.7197956740856171,0.6415749937295914
8,Double_Layer_5,1.2086189985275269,0.7112827897071838,0.6272000074386597
9,Double_Layer_6,1.3174595534801483,0.6812756657600403,0.5894999951124191
