,Model,Average Loss,Average Precision,Average Recall
0,Single_Layer_2,1.4290926158428192,0.6362350583076477,0.45217500627040863
1,Single_Layer_3,1.5519117712974548,0.6135970503091812,0.44690000265836716
2,Single_Layer_4,1.4425066411495209,0.6320763528347015,0.4460499957203865
3,Single_Layer_5,1.4865660965442657,0.6250690519809723,0.34517499804496765
4,Single_Layer_6,1.477902889251709,0.6293888986110687,0.3356250002980232
5,Double_Layer_2,1.0953828990459442,0.7221203297376633,0.5492500066757202
6,Double_Layer_3,1.1192240118980408,0.7137299031019211,0.5650250017642975
7,Double_Layer_4,1.1760736107826233,0.702264204621315,0.5547000020742416
8,Double_Layer_5,1.241182416677475,0.6884714215993881,0.520225003361702
9,Double_Layer_6,1.2934987246990204,0.6748761832714081,0.49242500215768814
