,Model,Average Loss,Average Precision,Average Recall
0,Single_Layer_2,1.8771227598190308,0.5815372169017792,0.44997500628232956
0,Single_Layer_3,2.0330251157283783,0.5521933287382126,0.4228750020265579
0,Single_Layer_4,1.8336034417152405,0.5601596087217331,0.38155000656843185
0,Single_Layer_5,1.7388043403625488,0.5760722011327744,0.36204999685287476
0,Single_Layer_6,1.7290726900100708,0.577164813876152,0.3701000064611435
0,Double_Layer_2,1.1879426538944244,0.6963236927986145,0.5603500008583069
0,Double_Layer_3,1.2706392109394073,0.6818476170301437,0.566650003194809
0,Double_Layer_4,1.3584880828857422,0.6614930927753448,0.5443749874830246
0,Double_Layer_5,1.3401922285556793,0.6630044430494308,0.4964749813079834
0,Double_Layer_6,1.4177214801311493,0.6491830796003342,0.4993000030517578
0,Triple_Layer_2,1.0379357635974884,0.7359243184328079,0.5746999979019165
0,Triple_Layer_3,1.055957019329071,0.7369105368852615,0.5602750033140182
0,Triple_Layer_4,1.110327571630478,0.7284298092126846,0.541824996471405
0,Triple_Layer_5,1.203256994485855,0.7116870433092117,0.5002499893307686
0,Triple_Layer_6,1.3011530339717865,0.6835024505853653,0.4518500044941902
