,Model,Average Loss,Average Precision,Average Recall
0,Single_Layer_20,2.3033317923545837,0.0,0.0
1,Single_Layer_40,2.3030382990837097,0.0,0.0
2,Single_Layer_60,2.30423241853714,0.0,0.0
3,Single_Layer_80,2.303133189678192,0.0,0.0
4,Single_Layer_100,2.303335726261139,0.0,0.0
5,Single_Layer_120,2.3033321499824524,0.0,0.0
6,Double_Layer_20,2.3032992482185364,0.0,0.0
7,Double_Layer_40,2.3029818534851074,0.0,0.0
8,Double_Layer_60,2.3031721711158752,0.0,0.0
9,Double_Layer_80,2.303547501564026,0.0,0.0
10,Double_Layer_100,2.3033880591392517,0.0,0.0
11,Double_Layer_120,2.303320348262787,0.0,0.0
