,Model,Average Loss,Average Precision,Average Recall
0,Single_Layer_2,1.7886954545974731,0.6064495742321014,0.5084250122308731
1,Single_Layer_3,2.4149033427238464,0.5474054962396622,0.4684000015258789
2,Single_Layer_4,1.9769704937934875,0.5594682395458221,0.4321499988436699
3,Single_Layer_5,1.7855507135391235,0.5774929225444794,0.4062250033020973
4,Single_Layer_6,1.666170746088028,0.5944795310497284,0.41267500817775726
5,Double_Layer_2,1.1236099302768707,0.7151131927967072,0.622299998998642
6,Double_Layer_3,1.1553527116775513,0.7122479826211929,0.6201000064611435
7,Double_Layer_4,1.1669274866580963,0.7103324830532074,0.6122000068426132
8,Double_Layer_5,1.2738297283649445,0.6906443238258362,0.6004499942064285
9,Double_Layer_6,1.2830330431461334,0.6899734884500504,0.5579250156879425
