,Model,Average Loss,Average Precision,Average Recall
0,Single_Layer_2,2.2524587213993073,0.5968740582466125,0.549699991941452
1,Single_Layer_3,2.4142765402793884,0.5835887640714645,0.5371000021696091
2,Single_Layer_4,2.0907907485961914,0.57839435338974,0.4716000109910965
3,Single_Layer_5,1.9919384717941284,0.5843318998813629,0.48250000178813934
4,Single_Layer_6,1.660449504852295,0.6175101548433304,0.4726250022649765
5,Double_Layer_2,1.080374002456665,0.7320762425661087,0.6530749946832657
6,Double_Layer_3,1.1512856185436249,0.7298370897769928,0.67085000872612
7,Double_Layer_4,1.1405263841152191,0.7277700901031494,0.6548249870538712
8,Double_Layer_5,1.230554312467575,0.7099291980266571,0.6341749876737595
9,Double_Layer_6,1.2809727489948273,0.691072404384613,0.5816249996423721
10,Triple_Layer_2,0.8243344128131866,0.7875679582357407,0.6838500052690506
11,Triple_Layer_3,0.8352767080068588,0.7865463197231293,0.6966749876737595
12,Triple_Layer_4,0.8685863614082336,0.7832691222429276,0.6741749942302704
13,Triple_Layer_5,0.9665639996528625,0.7619312107563019,0.650749996304512
14,Triple_Layer_6,1.0199610888957977,0.7495369613170624,0.6096249967813492
15,Quadruple_Layer_2,0.8250278234481812,0.79112109541893,0.6482000052928925
16,Quadruple_Layer_3,0.8422181308269501,0.7880131900310516,0.6932750046253204
17,Quadruple_Layer_4,0.8794005215167999,0.7864927649497986,0.6860749870538712
18,Quadruple_Layer_5,0.9261845499277115,0.7779517024755478,0.6579750031232834
19,Quadruple_Layer_6,1.0503838062286377,0.7571219801902771,0.5789999961853027
