,Baseline Loss,Baseline Precision,Baseline Recall,Approximated Loss,Approximated Precision,Approximated Recall,33% Blurred Loss,33% Blurred Precision,33% Blurred Recall ,50% Blurred Loss,50% Blurred Precision,50% Blurred Recall ,Compensated Loss,Compensated Precision,Compensated Recall
0,2.282157362,0.579315975,0.524700001,1.514876336,0.635568604,0.521025002,18.31825945,0.384966902,0.346450005,28.09838858,0.308426589,0.274474993,2.048724353,0.578283951,0.498600006
1,2.386829615,0.583846837,0.530074999,1.511307716,0.621065363,0.466775,11.12991416,0.475477774,0.434050009,2.151467294,0.583883315,0.489300005,2.473508894,0.553922191,0.490024991
2,2.063897461,0.584528878,0.500050001,1.533951283,0.615786031,0.416874997,8.494339347,0.427679744,0.368399993,23.13180751,0.362215254,0.307175001,1.925100684,0.577811196,0.461574994
3,1.923899472,0.585458323,0.480200008,1.491366982,0.62179026,0.3992,2.694668561,0.462125793,0.350575004,6.516199529,0.394986056,0.27375,1.714504182,0.593517974,0.414674997
4,1.784457117,0.592596322,0.455475003,1.494417101,0.628584191,0.355549999,1.718975484,0.599819034,0.450949997,1.615504593,0.617007852,0.374849997,1.75887844,0.587301165,0.404224999
